,"Проблемы с прошивкой. При отключении от сети или глушении двигателя выбивает таймер на 5 сек и два варианта на выбор: выключить или ожидание. нажимая ожидание - все равно выключается! В СЦ сказали если на гарантии еще можно перепрошить, но таймер будет не на 5,а на 10 сек, а вообще эта проблема не убирается. у кого не на гарантии нужно платить деньги..."
,"Яка ціна, такий і навігатор, краще взяти планшет з автономною навігацією"
,"для чиво канали в gps???"
4,"Железо : материалы корпуса хорошие , родная защитная плёнка при попадании освещения не даёт увидеть что творится на экране , стилус достать трудно , тачскрин работает довольно неплохо. В работе девайс не тормозит , при навигации работает шустро (c IGO Primo -быстро, с Navitel- хуже), воспроизвод видео - тормоза при любом разрешении и любом поддерживаемом формате. FM-модулятор - передача сигнала в стерео , качество нормальное , но много шумов, дальности передачи для автомобиля хватит. Bluetooth коннектится с телефоном отлично , доступ к основным ф-циям телефона шустрый. Комплектация : неплохо , но нехватает зарядного от сети 220v AC. Документация и инструкции юзера: моя личная оценка- минус 5 , даже не ноль. С такими юзермануалами и описанием прибора трудно опредилиться с тем , стоит ли ЭТО покупать ? Производитель такими вещами очевидно вообще не парился."
,"Навигатор нормальный,единственное не пойму почему вставляю карту памяти с навмгатора формат микро сд и не воспроизводит видео в формате avi,музыку и фотки с этой же карты воспроизводит"
,"Хороший недорогой нав. Качество в целом хорошее. Карты дольно хороши, даже по сравнению с Навителом. Мне понравился девайс."
,"Поставил на него iGO primo 8.5.11.155811.Все супер,просто летает"
,"Очень хорошие карты. Приятное устройство. Все отлично функционирует. Отличная техническая потдержка, как в работе с девайсом, так же и с картами"
,"Свои деньги чётко отрабатывает. Навигация пашет на ура. Управлять им не сложно. Компактный и хорошо собран. Мне он сразу понравился."
,"Понравилось всё - начиная от карт и заканчивая самим дизайном аппарата. Соотношение цены и качества, считаю, одно из лучших за эти деньги."
,"Карты хорошие. Цена хорошая, сборка тоже. Менюшка простая и понятная. Пользуюсь с удовольствием."
,"Пользуюсь с удовольствием. Достаточно компактен и функционален. Юзаю в авто через FM-трансмиттер - все работает четко. Очень удобная штуковина"
,"Как по мне, так это &quot;золотая середина&quot; между компактными размерами и большой диагональю экрана. Тут присутствует и то и другое. Удобно что помимо размеров, внутренности аппарата выполнены как надо. Все работает достаточно быстро, плюс тут менюшка удобная."
4,"Доволен"
,"Прикольный по виду, стильный, дизайн модный для нашего времени, но это даже не главное. Главное что экран достаточно крупный, значки все можно разглядеть, а еще отлично то что реально быстро и четко ориентируется на спутники. В секунды местоположение точное определяет."
,"Моделька что нужно. Очень бюджетная простая в управлении, и качетвенная в работе, мне комфортно ездить с этим аппаратом, и это главное!"
,"Хороший девайс для качественной навигации. Спутники нашел быстро, ведет по дорогам, а не по кустам, голосом подсказывает когда и куда поворачивать. Мне больше ничего от него и не требуется."
